,after_T0,after_T1,after_T2,after_T3,after_T4,after_T5,after_T6,after_T7,after_T8,after_T9
task_0,95.1,93.6,89.3,86.7,85.6,84.9,82.9,81.9,81.1,81.2
task_1,0.0,94.8,93.2,91.1,89.8,87.7,87.2,85.8,84.5,83.2
task_2,0.0,0.0,88.0,86.2,83.1,82.0,79.8,76.3,75.2,74.4
task_3,0.0,0.0,0.0,88.8,86.8,85.8,84.0,83.5,82.0,81.7
task_4,0.0,0.0,0.0,0.0,85.2,83.4,80.6,78.3,77.4,76.0
task_5,0.0,0.0,0.0,0.0,0.0,84.8,83.5,82.6,82.3,82.0
task_6,0.0,0.0,0.0,0.0,0.0,0.0,85.8,83.5,82.1,80.5
task_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.3,76.2,72.8
task_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.8,79.3
task_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0
